,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
201,2,1,0,0,1,0,0,0,0,0,0
202,2,1,0,0,0,0,0,0,2,0,0
203,11,3,1,0,0,0,1,0,0,1,0
204,430,1,0,0,0,0,1,0,0,0,0
205,30,2,1,0,0,0,1,0,0,0,0
206,5,2,0,0,0,0,1,1,0,0,0
207,13,3,1,0,0,0,1,0,0,1,0
208,22,2,0,0,1,1,0,0,1,0,0
209,45,7,0,0,1,0,1,0,0,5,0
210,255,3,0,0,1,1,0,0,1,0,0
211,1,1,1,0,0,0,0,0,0,0,0
212,1210,6,1,1,0,4,0,0,1,0,0
213,1,1,0,0,1,0,0,0,0,0,0
214,15,3,0,1,1,0,1,0,0,0,0
215,25,4,0,0,1,0,0,2,1,0,0
216,4,2,1,0,0,0,0,0,1,0,0
217,15,5,1,1,0,3,0,0,0,0,0
218,72,1,1,0,0,0,1,0,0,0,1
219,41,6,0,3,1,2,1,0,0,0,0
220,383,2,0,0,1,0,0,0,1,0,0
221,2,2,0,0,1,0,1,0,0,0,0
222,17,2,0,0,1,0,0,0,1,0,0
223,2,1,1,0,0,0,0,0,0,0,0
224,123,3,0,0,0,0,1,0,0,2,0
225,1,1,0,0,1,0,0,0,0,0,0
226,1,1,0,0,1,0,0,0,0,0,0
227,2,1,1,0,0,0,0,0,0,0,0
228,108,5,0,1,1,2,0,0,1,0,0
229,73,7,0,0,1,5,0,0,1,0,0
230,79,2,0,0,0,0,1,0,0,1,0
231,7,1,1,0,0,0,0,0,0,0,0
232,1,1,0,0,1,0,0,0,0,0,0
233,3,1,0,0,0,0,0,0,1,0,0
234,71,2,0,0,1,1,0,0,0,0,0
235,4,1,0,0,0,0,1,0,0,0,0
236,1,1,0,0,1,0,0,0,0,0,0
237,6,3,0,0,1,1,0,0,1,0,0
238,2,1,0,0,0,0,1,0,0,0,0
239,1331,17,0,3,1,12,0,0,1,0,0
240,28,2,1,1,0,0,0,0,0,0,0
241,1,1,1,0,0,0,0,0,0,0,0
242,5,2,0,0,0,0,0,0,2,2,0
243,3,1,0,0,1,0,0,0,0,0,0
244,3,1,0,0,0,0,0,0,1,0,0
245,125,1,1,0,0,0,1,0,0,0,0
246,53,3,1,0,0,2,0,0,0,0,0
247,67,6,0,0,1,0,0,0,1,5,1
248,3,2,0,0,1,1,0,0,0,0,0
249,3,1,0,0,1,0,0,0,0,0,0
250,5,1,0,0,1,0,0,0,1,0,0
251,4,1,1,0,0,0,0,0,0,0,0
252,6,2,1,0,0,1,1,0,0,0,0
253,3,2,1,0,0,0,0,0,1,0,0
254,132,7,1,4,0,2,1,0,0,0,0
255,6,1,0,0,1,0,0,0,0,0,0
256,201,6,0,0,0,0,1,0,0,5,0
257,1,1,0,0,0,0,0,0,1,0,0
258,7,1,1,0,0,0,0,0,0,0,0
259,573,6,1,2,0,3,0,0,0,0,0
260,98,4,0,2,1,1,0,0,1,0,1
261,1824,6,0,0,1,0,1,2,0,2,0
262,9,6,1,0,0,4,0,0,1,0,0
263,1,1,0,0,1,0,0,0,0,0,0
264,18,2,0,0,1,1,0,0,1,0,0
265,5,4,0,0,0,0,1,1,0,2,0
266,6,2,0,0,1,0,0,0,1,0,0
267,1,1,0,0,1,0,0,0,0,0,0
268,27,2,1,0,0,0,0,0,1,0,0
269,13,11,0,4,1,5,0,0,1,0,0
270,1,1,0,0,1,0,0,0,0,0,0
271,45,8,0,0,1,0,1,0,0,6,0
272,7,5,1,0,0,3,0,0,1,0,0
273,7,1,1,0,0,0,1,0,0,0,0
274,1,1,1,0,0,0,0,0,0,0,0
275,48,13,0,0,0,0,1,1,0,11,0
276,14,5,1,0,0,3,0,0,1,0,0
277,6,3,1,0,0,0,0,1,1,0,0
278,876,27,0,0,2,50,0,0,2,0,0
279,4558,117,0,0,0,0,0,5,1,111,0
280,15,1,1,0,0,0,0,0,0,0,0
281,591,3,1,1,0,1,0,0,0,0,0
282,24,1,1,0,0,0,0,0,0,0,0
283,17,1,1,0,0,0,0,0,0,0,0
284,11,3,0,0,1,1,0,0,1,0,0
285,9,2,1,1,0,0,0,0,0,0,0
286,6,1,1,0,0,0,0,0,0,0,0
287,5,3,0,0,0,0,0,1,1,1,0
288,2,1,1,0,0,0,0,0,0,0,0
289,520,5,0,0,1,0,1,0,0,3,0
290,11,3,0,1,1,1,0,0,0,0,0
291,2,1,1,0,0,0,0,0,0,0,0
292,2,1,0,0,1,0,0,0,0,0,0
293,54,1,1,0,0,0,0,0,0,0,0
294,21,1,0,0,1,0,0,0,0,0,0
295,6,1,0,0,1,0,0,0,0,0,0
296,2,1,0,0,1,0,0,0,0,0,0
297,6,2,1,0,0,0,0,0,1,0,0
298,8,1,1,0,0,0,0,0,0,0,0
299,4,1,1,0,0,0,0,0,0,0,0
300,52,2,1,0,0,0,0,0,1,0,0
301,1,1,0,0,1,0,0,0,0,0,0
302,1,1,0,0,1,0,0,0,0,0,0
303,7,1,1,0,0,0,1,0,0,0,0
304,2,1,0,0,2,0,0,0,0,0,0
