,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
5129,545,18,0,0,1,1,1,1,0,14,1
5130,4,1,0,0,1,0,0,0,1,0,1
5131,307,2,1,0,0,0,1,1,0,0,1
5132,205,2,1,0,0,0,1,0,0,1,1
5133,32,2,0,0,1,0,1,0,0,0,1
5134,1,2,0,0,1,0,0,0,1,0,1
5135,159,7,0,0,1,4,1,0,0,1,1
5136,300,8,0,1,1,0,1,0,0,5,1
5137,467,2,1,0,0,0,1,1,0,0,1
5138,452,24,0,0,1,0,0,3,1,20,1
5139,92,2,1,0,0,1,1,0,0,0,1
5140,591,18,1,2,0,14,0,1,1,0,1
5141,347,16,0,0,1,0,1,7,0,7,1
5142,255,10,1,0,0,0,1,0,0,9,1
5143,528,22,1,0,0,1,1,3,0,17,1
5144,88,2,1,0,0,0,1,0,0,0,1
5145,3,5,0,0,1,0,0,1,1,2,1
5146,299,22,0,0,1,0,1,2,0,18,1
5147,96,7,1,3,0,3,0,0,1,0,1
5148,50,19,0,0,1,0,1,5,0,12,1
5149,30,2,1,0,0,0,0,0,1,0,1
5150,521,4,1,0,0,0,1,1,0,2,1
5151,1843,49,0,0,1,0,0,0,1,48,1
5152,552,3,1,1,0,0,0,1,1,0,1
5153,281,5,1,2,0,2,0,0,1,0,1
5154,31,8,0,0,1,0,0,0,1,6,1
5155,1397,22,0,0,1,0,1,3,0,17,1
5156,90,3,1,1,0,1,1,0,0,0,1
5157,416,3,1,0,0,2,1,0,0,0,1
5158,128,2,0,0,1,0,0,0,1,0,1
5159,30,1,0,0,1,0,0,0,1,0,1
5160,81,2,0,0,1,0,1,0,0,0,1
5161,38,2,1,0,0,1,0,0,1,0,1
5162,32,10,0,0,1,0,0,0,1,8,1
5163,8,6,0,0,1,0,0,1,1,3,1
5164,196,10,0,0,1,0,1,0,0,8,1
5165,692,3,0,0,1,1,1,0,0,1,1
5166,444,5,1,0,0,1,0,1,1,2,1
5167,47,2,1,1,0,0,1,0,0,0,1
5168,23,5,0,0,1,0,0,0,1,3,1
5169,32,3,1,1,0,0,1,1,0,0,1
5170,194,15,0,0,1,0,1,3,0,10,1
5171,5271,31,1,0,0,0,1,5,0,25,1
5172,187,2,0,0,2,0,0,0,2,0,1
5173,58,4,0,0,1,0,0,1,1,1,1
5174,18,3,1,0,0,2,1,0,0,0,1
5175,45,5,0,0,1,0,1,0,0,3,1
5176,62,13,0,0,1,0,0,1,1,10,1
5177,5,2,0,0,1,0,1,0,0,0,1
5178,35,3,0,1,1,1,0,0,1,0,1
5179,7,1,0,0,1,0,0,0,1,0,1
5180,5,6,0,0,1,0,0,0,1,4,1
5181,31,9,0,0,1,0,0,0,1,7,1
5182,702,7,1,0,0,0,1,0,0,5,1
5183,117,1,1,0,0,0,1,0,0,0,1
5184,508,1,0,0,1,0,0,0,1,0,1
5185,2180,81,1,1,0,78,0,0,1,0,1
5186,593,3,1,1,0,1,1,0,0,0,1
5187,4836,124,1,3,0,119,0,0,1,0,1
5188,54,33,0,0,1,0,0,5,1,26,1
5189,20,1,1,0,0,0,1,0,0,0,1
5190,2098,21,0,0,1,0,1,3,0,16,1
5191,229,5,0,0,1,0,1,0,0,4,1
5192,36,2,1,0,0,0,1,0,0,0,1
5193,442,8,0,0,1,0,1,1,0,5,1
5194,8,1,0,0,1,0,0,0,1,0,1
5195,7,3,0,0,1,0,1,0,0,1,1
5196,139,7,0,1,1,5,0,0,1,0,1
5197,2048,22,1,1,0,0,1,2,0,18,1
5198,78,2,1,0,0,0,1,0,0,0,1
5199,7,2,0,0,1,0,1,0,0,0,1
5200,60,8,0,0,1,0,1,1,0,5,1
5201,1392,10,1,0,0,4,0,1,1,5,1
5202,3806,7,0,1,1,0,1,1,0,4,1
5203,20,1,0,0,1,0,0,0,1,0,1
5204,35,2,0,0,1,0,1,0,0,0,1
5205,76,2,1,0,0,0,1,0,0,1,1
5206,50,2,1,0,0,0,0,0,1,0,1
5207,455,13,0,1,1,0,0,3,1,8,1
5208,9,1,0,0,1,0,0,0,1,0,1
5209,510,2,0,0,1,0,1,0,0,0,1
5210,194,1,1,0,0,0,1,0,0,0,1
5211,2164,23,0,0,1,0,1,2,0,19,1
5212,1818,7,0,0,1,0,1,0,0,6,1
5213,426,4,1,1,0,2,1,0,0,0,1
5214,247,2,1,0,0,0,0,0,1,0,1
5215,245,7,0,0,2,12,0,0,2,0,1
