,t_ch,t_dev,l_core_and_top,l_core_and_occ,l_peripheral_and_top,l_peripheral_and_occ,r_core_and_top,r_core_and_occ,r_peripheral_and_top,r_peripheral_and_occ,has_conflict
326,14,4,0,0,0,0,1,2,0,1,0
327,3,2,0,0,1,1,0,0,0,0,0
328,18,1,0,0,0,0,1,0,0,0,0
329,8,1,1,0,0,0,0,0,0,0,0
330,85,9,1,5,0,3,0,0,0,0,0
331,58,3,0,0,2,4,0,0,0,0,0
332,104,14,1,0,0,12,0,0,1,0,0
333,1931,26,0,0,1,0,0,4,1,20,0
334,84,3,0,0,1,1,0,0,1,0,0
335,617,9,0,0,1,0,0,2,1,6,0
336,2,1,0,0,1,0,0,0,0,0,0
337,12,1,0,0,0,0,1,0,0,0,0
338,155,13,0,2,1,10,0,0,0,0,0
339,9,4,0,0,0,0,0,2,1,1,0
340,10,1,0,0,1,0,0,0,0,0,0
341,1,1,0,0,0,0,0,0,2,0,0
342,8,3,1,0,0,0,0,0,1,1,0
343,6,2,1,0,0,0,0,0,1,0,0
344,4,2,0,0,1,0,0,0,1,0,0
345,4,1,0,0,1,0,0,0,0,0,0
346,3,1,0,0,2,0,0,0,0,0,0
347,57,2,0,0,1,0,0,0,1,0,0
348,8,1,0,0,1,0,0,0,0,0,0
349,24,1,0,0,1,0,0,0,0,0,0
350,4,1,0,0,1,0,0,0,0,0,0
351,2,1,0,0,0,0,1,0,0,0,0
352,9,6,0,0,0,0,0,1,1,4,0
353,1,1,1,0,0,0,0,0,0,0,0
354,161,1,1,0,0,0,1,0,0,0,0
355,85,1,1,0,0,0,0,0,0,0,0
356,1,1,0,0,1,0,0,0,0,0,0
357,6,3,0,1,1,1,0,0,1,0,0
358,4,1,0,0,1,0,0,0,0,0,0
359,666,4,1,0,0,3,0,0,1,0,0
360,9,1,0,0,1,0,0,0,1,0,0
361,8,1,0,0,0,0,0,0,1,0,0
362,2,1,1,0,0,0,0,0,0,0,0
363,3,2,0,0,1,0,0,0,1,0,0
364,2,1,0,0,2,0,0,0,0,0,0
365,10,1,0,0,1,0,0,0,0,0,0
366,153,2,1,1,0,0,0,0,0,0,0
367,19,2,1,0,0,0,0,0,1,0,0
368,4,4,0,0,2,4,0,0,2,0,0
369,24,1,1,0,0,0,1,0,0,0,0
370,2,1,0,0,1,0,0,0,0,0,0
371,8,5,1,1,0,3,0,0,0,0,0
372,12,3,1,0,0,1,0,0,1,0,0
373,55,2,0,0,1,1,0,0,1,0,0
374,2,1,0,0,0,0,0,0,1,0,0
375,363,14,0,1,1,12,0,0,0,0,0
376,1,1,0,0,1,0,0,0,0,0,0
377,12,2,1,0,0,0,0,0,1,0,0
378,1,1,0,0,0,0,1,0,0,0,0
379,1,1,0,0,2,0,0,0,0,0,0
380,25,1,0,0,0,0,0,0,1,0,0
381,78,2,1,0,0,0,0,0,1,0,0
382,168,3,0,0,0,0,0,0,1,2,0
383,33,6,0,1,1,4,0,0,0,0,0
384,9,1,0,0,1,0,0,0,0,0,0
385,1,1,0,0,0,0,1,0,0,0,0
386,71,2,0,0,1,0,0,0,1,0,0
387,2,2,0,0,1,0,1,0,0,0,0
388,1,1,1,0,0,0,0,0,0,0,0
389,1,1,1,0,0,0,0,0,0,0,0
390,3635,1,1,0,0,0,0,0,0,0,0
391,70,4,0,1,1,1,0,0,1,0,0
392,48,1,1,0,0,0,0,0,0,0,0
393,6,3,0,1,1,0,1,0,0,0,0
394,6,1,0,0,0,0,1,0,0,0,0
395,99,3,0,0,1,0,0,0,1,1,0
396,5,2,0,0,1,1,0,0,1,0,0
397,11,2,1,0,0,0,0,0,1,0,0
398,5,2,0,0,1,1,0,0,0,0,0
399,261,3,1,0,0,0,1,0,0,1,0
400,3,1,1,0,0,0,0,0,0,0,0
401,1,1,0,0,1,0,0,0,0,0,0
402,2,1,0,0,1,0,0,0,0,0,0
403,3,1,0,0,1,0,0,0,0,0,0
404,12,1,0,0,0,0,0,0,1,0,0
